DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
2022-01-01,BM12_TJOVER12,2022-01-01T00:00:00-03:00,1,1,2022,0.73
2022-02-01,BM12_TJOVER12,2022-02-01T00:00:00-03:00,1,2,2022,0.76
2022-03-01,BM12_TJOVER12,2022-03-01T00:00:00-03:00,1,3,2022,0.93
2022-04-01,BM12_TJOVER12,2022-04-01T00:00:00-03:00,1,4,2022,0.83
2022-05-01,BM12_TJOVER12,2022-05-01T00:00:00-03:00,1,5,2022,1.03
2022-06-01,BM12_TJOVER12,2022-06-01T00:00:00-03:00,1,6,2022,1.02
2022-07-01,BM12_TJOVER12,2022-07-01T00:00:00-03:00,1,7,2022,1.03
2022-08-01,BM12_TJOVER12,2022-08-01T00:00:00-03:00,1,8,2022,1.17
2022-09-01,BM12_TJOVER12,2022-09-01T00:00:00-03:00,1,9,2022,1.07
2022-10-01,BM12_TJOVER12,2022-10-01T00:00:00-03:00,1,10,2022,1.02
2022-11-01,BM12_TJOVER12,2022-11-01T00:00:00-03:00,1,11,2022,1.02
2022-12-01,BM12_TJOVER12,2022-12-01T00:00:00-03:00,1,12,2022,1.12
2023-01-01,BM12_TJOVER12,2023-01-01T00:00:00-03:00,1,1,2023,1.12
2023-02-01,BM12_TJOVER12,2023-02-01T00:00:00-03:00,1,2,2023,0.92
2023-03-01,BM12_TJOVER12,2023-03-01T00:00:00-03:00,1,3,2023,1.17
2023-04-01,BM12_TJOVER12,2023-04-01T00:00:00-03:00,1,4,2023,0.92
2023-05-01,BM12_TJOVER12,2023-05-01T00:00:00-03:00,1,5,2023,1.12
2023-06-01,BM12_TJOVER12,2023-06-01T00:00:00-03:00,1,6,2023,1.07
2023-07-01,BM12_TJOVER12,2023-07-01T00:00:00-03:00,1,7,2023,1.07
2023-08-01,BM12_TJOVER12,2023-08-01T00:00:00-03:00,1,8,2023,1.14
2023-09-01,BM12_TJOVER12,2023-09-01T00:00:00-03:00,1,9,2023,0.97
2023-10-01,BM12_TJOVER12,2023-10-01T00:00:00-03:00,1,10,2023,1.0
2023-11-01,BM12_TJOVER12,2023-11-01T00:00:00-03:00,1,11,2023,0.92
2023-12-01,BM12_TJOVER12,2023-12-01T00:00:00-03:00,1,12,2023,0.89
